"","FIPS","GeoName","year","rpp_goods","rpp_services_housing","rpp_services_other","rpp_services_utilities","rpp_all_items"
"2814","29200","Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",2014,"98.235","81.541","95.813","105.9","94.311"
"2815","29340","Lake Charles, LA (Metropolitan Statistical Area)",2014,"97.754","59.028","100.409","104.035","91.532"
"2816","29420","Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",2014,"96.339","72.681","102.394","102.045","93.064"
"2817","29460","Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",2014,"97.702","86.249","100.403","93.82","96.574"
"2818","29540","Lancaster, PA (Metropolitan Statistical Area)",2014,"97.961","97.479","97.769","95.159","97.723"
"2819","29620","Lansing-East Lansing, MI (Metropolitan Statistical Area)",2014,"98.07","88.936","96.451","99.52","95.883"
"2820","29700","Laredo, TX (Metropolitan Statistical Area)",2014,"97.646","73.455","100.219","115.381","94.632"
"2821","29740","Las Cruces, NM (Metropolitan Statistical Area)",2014,"96.906","70.16","101.215","89.595","93.255"
"2822","29820","Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",2014,"96.352","99.743","101.783","102.636","99.543"
"2823","29940","Lawrence, KS (Metropolitan Statistical Area)",2014,"98.322","86.963","97.02","114.697","96.303"
"2824","30020","Lawton, OK (Metropolitan Statistical Area)",2014,"97.75","68.404","100.064","111.449","93.388"
"2825","30140","Lebanon, PA (Metropolitan Statistical Area)",2014,"97.961","86.103","97.769","95.358","96.003"
"2826","30300","Lewiston, ID-WA (Metropolitan Statistical Area)",2014,"97.754","74.988","99.51","84.031","92.88"
"2827","30340","Lewiston-Auburn, ME (Metropolitan Statistical Area)",2014,"97.945","79.846","96.523","62.34","93.377"
"2828","30460","Lexington-Fayette, KY (Metropolitan Statistical Area)",2014,"98.197","75.119","100.487","102.465","95.291"
"2829","30620","Lima, OH (Metropolitan Statistical Area)",2014,"98.617","68.769","96.432","98.876","91.892"
"2830","30700","Lincoln, NE (Metropolitan Statistical Area)",2014,"98.256","85.112","97.037","101.496","95.758"
"2831","30780","Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",2014,"97.466","71.535","100.494","107.61","94.336"
"2832","30860","Logan, UT-ID (Metropolitan Statistical Area)",2014,"98.23","84.217","99.066","87.083","95.204"
"2833","30980","Longview, TX (Metropolitan Statistical Area)",2014,"96.473","72.03","99.866","115.248","93.768"
