variable,estimate,latitude,longitude
is_crime_los_angeles THEFT OF IDENTITY,1,34.2952,-118.501
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0483,-118.3063
is_crime_los_angeles CRIMINAL THREATS - NO WEAPON DISPLAYED,1,33.9808,-118.2917
is_crime_los_angeles INTIMATE PARTNER - AGGRAVATED ASSAULT,1,34.2469,-118.4195
"is_crime_los_angeles RAPE, FORCIBLE",1,34.2283,-118.5448
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.268,-118.4303
is_crime_los_angeles VEHICLE - STOLEN,1,33.7361,-118.299
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.1993,-118.5447
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0483,-118.3063
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0185,-118.2675
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.1425,-118.3643
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1,34.0127,-118.3525
"is_crime_los_angeles RAPE, FORCIBLE",1,34.2592,-118.4025
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0552,-118.208
"is_crime_los_angeles RAPE, FORCIBLE",1,34.2043,-118.5754
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.9967,-118.2502
is_crime_los_angeles THEFT OF IDENTITY,1,34.0417,-118.3365
is_crime_los_angeles BURGLARY,1,34.2386,-118.393
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.2815,-118.4097
"is_crime_los_angeles RAPE, ATTEMPTED",1,34.3021,-118.4467
is_crime_los_angeles VEHICLE - STOLEN,1,34.0395,-118.2527
is_crime_los_angeles THEFT OF IDENTITY,1,33.9764,-118.4327
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.2338,-118.472
is_crime_los_angeles THEFT OF IDENTITY,1,34.0132,-118.2981
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0944,-118.2086
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.1849,-118.3746
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.2282,-118.4611
is_crime_los_angeles ORAL COPULATION,1,34.2722,-118.4453
is_crime_los_angeles THEFT OF IDENTITY,1,34.2417,-118.4141
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.1054,-118.2055
is_crime_los_angeles CHILD ANNOYING (17YRS & UNDER),1,33.9262,-118.2826
is_crime_los_angeles SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,34.0658,-118.2749
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.0745,-118.296
is_crime_los_angeles SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,34.0452,-118.223
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.0527,-118.2947
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,34.3221,-118.4236
is_crime_los_angeles ORAL COPULATION,1,33.9401,-118.2695
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0408,-118.3435
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.1065,-118.1878
is_crime_los_angeles THEFT OF IDENTITY,1,33.9712,-118.2608
is_crime_los_angeles THEFT OF IDENTITY,1,34.0465,-118.4588
is_crime_los_angeles VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,34.2085,-118.4586
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.1533,-118.5251
"is_crime_los_angeles RAPE, FORCIBLE",1,34.1929,-118.4619
is_crime_los_angeles THEFT OF IDENTITY,1,33.9851,-118.2841
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0944,-118.2086
is_crime_los_angeles THEFT OF IDENTITY,1,34.1593,-118.5011
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0781,-118.2784
is_crime_los_angeles ORAL COPULATION,1,34.2143,-118.6206
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0658,-118.2749
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.2265,-118.4654
is_crime_los_angeles CHILD ANNOYING (17YRS & UNDER),1,34.0346,-118.2953
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.1167,-118.2366
is_crime_los_angeles ORAL COPULATION,1,33.9925,-118.2652
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.1054,-118.2055
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.0056,-118.4285
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.0788,-118.4322
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.2332,-118.4436
is_crime_los_angeles THEFT OF IDENTITY,1,34.0745,-118.296
"is_crime_los_angeles RAPE, FORCIBLE",1,33.75,-118.2967
is_crime_los_angeles BURGLARY,1,34.0585,-118.3262
is_crime_los_angeles THEFT OF IDENTITY,1,34.0669,-118.2632
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0918,-118.3157
is_crime_los_angeles ORAL COPULATION,1,33.9401,-118.2695
is_crime_los_angeles THEFT OF IDENTITY,1,34.2122,-118.4121
"is_crime_los_angeles RAPE, FORCIBLE",1,34.2011,-118.5111
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.9927,-118.4238
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.1053,-118.2055
"is_crime_los_angeles RAPE, FORCIBLE",1,34.1456,-118.5536
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.1939,-118.4582
is_crime_los_angeles THEFT OF IDENTITY,1,34.1722,-118.367
is_crime_los_angeles THEFT OF IDENTITY,1,34.2248,-118.4873
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.1053,-118.2055
"is_crime_los_angeles RAPE, FORCIBLE",1,33.9439,-118.2332
is_crime_los_angeles CHILD ANNOYING (17YRS & UNDER),1,33.7424,-118.2857
"is_crime_los_angeles RAPE, FORCIBLE",1,33.9859,-118.2968
is_crime_los_angeles THEFT OF IDENTITY,1,33.9416,-118.2426
is_crime_los_angeles THEFT OF IDENTITY,1,33.9718,-118.2813
is_crime_los_angeles THEFT OF IDENTITY,1,34.1533,-118.5251
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.7306,-118.2857
is_crime_los_angeles THEFT OF IDENTITY,1,34.0599,-118.4397
is_crime_los_angeles ORAL COPULATION,1,33.999,-118.3133
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.0128,-118.3057
is_crime_los_angeles THEFT OF IDENTITY,1,33.9754,-118.2981
is_crime_los_angeles BURGLARY,1,34.0608,-118.2941
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.999,-118.3133
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0509,-118.2926
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.2296,-118.4271
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0697,-118.2779
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.2686,-118.4161
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.2428,-118.5347
is_crime_los_angeles THEFT OF IDENTITY,1,34.1827,-118.4553
is_crime_los_angeles SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,34.0146,-118.3057
is_crime_los_angeles THEFT OF IDENTITY,1,34.0274,-118.3194
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.2247,-118.4809
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.0236,-118.3138
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.0542,-118.2566
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.7843,-118.2746
is_crime_los_angeles THEFT OF IDENTITY,1,34.2122,-118.4287
is_crime_los_angeles BATTERY - SIMPLE ASSAULT,1,33.9933,-118.4512
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.038,-118.326
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.2639,-118.4288
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.7763,-118.2766
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.134,-118.3441
is_crime_los_angeles THEFT OF IDENTITY,1,34.026,-118.4149
is_crime_los_angeles THEFT OF IDENTITY,1,34.0112,-118.2489
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0346,-118.2953
is_crime_los_angeles LEWD/LASCIVIOUS ACTS WITH CHILD,1,34.0684,-118.2449
"is_crime_los_angeles RAPE, FORCIBLE",1,33.9243,-118.2739
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0269,-118.3606
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0275,-118.3659
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0557,-118.2758
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.2523,-118.4427
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.083,-118.1678
is_crime_los_angeles VEHICLE - STOLEN,1,33.7886,-118.2728
is_crime_los_angeles INTIMATE PARTNER - AGGRAVATED ASSAULT,1,34.1649,-118.3921
is_crime_los_angeles THEFT OF IDENTITY,1,34.2308,-118.5342
is_crime_los_angeles SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,34.0251,-118.3236
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.0351,-118.2018
is_crime_los_angeles THEFT OF IDENTITY,1,34.0349,-118.1924
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.2887,-118.5019
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.2347,-118.3965
is_crime_los_angeles ORAL COPULATION,1,34.1831,-118.3933
is_crime_los_angeles THEFT OF IDENTITY,1,34.1994,-118.4509
"is_crime_los_angeles RAPE, FORCIBLE",1,34.1308,-118.1887
is_crime_los_angeles CRUELTY TO ANIMALS,1,34.2689,-118.411
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.9893,-118.2652
is_crime_los_angeles ORAL COPULATION,1,33.9417,-118.3113
is_crime_los_angeles THEFT OF IDENTITY,1,34.2746,-118.6097
is_crime_los_angeles THEFT OF IDENTITY,1,33.9547,-118.2651
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0346,-118.2953
is_crime_los_angeles THEFT OF IDENTITY,1,34.1659,-118.3725
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.1027,-118.1961
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.2251,-118.5372
